"","Embarcacion","Horas"
"17","COLLEN (IND)",56.3399148649922
"19","COSTA GRANDE 1 (IND)",53.6521245154595
"36","LOA 2 (IND)",48.3938426477923
"1","ALBIMER (IND)",46.3431147625691
"37","LOA 7 (IND)",45.8540478959818
"16","CLAUDIA ALEJANDRA (IND)",44.8323991858151
"29","EPERVA 66 (IND)",42.8980463509623
"34","LICANTEN (IND)",39.656480656875
"31","HURACAN (IND)",38.9622139561586
"35","LOA 1 (IND)",35.5579929632591
"8","ATACAMA IV (IND)",33.2279237776095
"28","EPERVA 65 (IND)",32.4118658258177
"45","TORNADO (IND)",31.8407040343492
"24","EPERVA 56 (IND)",31.3697191272169
"43","SALMON (IND)",30.7260951919155
"32","ICALMA (IND)",29.7753905347586
"3","ANGAMOS 1 (IND)",29.0737039568616
"4","ANGAMOS 2 (IND)",28.8384253128403
"38","MARLIN (IND)",28.431778037132
"11","AVENTURERO (IND)",27.2136309052813
"26","EPERVA 62 (IND)",26.4301119671175
"18","CORPESCA 2 (IND)",23.7770328672461
"5","ANGAMOS 3 (IND)",22.3590712433431
"42","RELAMPAGO (IND)",20.1716062694154
"14","BLANQUILLO (IND)",19.1939374719067
"27","EPERVA 64 (IND)",19.1598493158115
"22","EPERVA 49 (IND)",18.912781557011
"23","EPERVA 51 (IND)",18.7120657258699
"39","MERO (IND)",18.5331942188943
"21","DON GINO (IND)",18.4956976738369
"13","BARRACUDA IV (IND)",18.2587950603624
"9","ATACAMA V (IND)",17.1755776923766
"40","PARINA I (IND)",17.1544077425054
"12","BANDURRIA (IND)",17.028388470837
"46","TRUENO I (IND)",15.4339697147735
"44","SAN JORGE I (IND)",15.4113978656314
"6","ANGAMOS 4 (IND)",14.7821283955335
"33","INTREPIDO (IND)",14.1033083332296
"7","ANGAMOS 9 (IND)",13.9799785695533
"41","PUCARA (IND)",11.7081928540781
"30","HALCON (IND)",11.5353877403608
"25","EPERVA 61 (IND)",11.2024069639196
"2","ALERCE (IND)",10.9820532311835
"10","AUDAZ (IND)",10.3712743486217
"20","DON ERNESTO AYALA MARFIL (IND)",10.022961231139
"15","CAMIÑA (IND)",8.73632926113035
