"","Embarcacion","Horas"
"25","EPERVA 61 (IND)",8.94455651614803
"8","ATACAMA IV (IND)",7.35380167286724
"5","ANGAMOS 3 (IND)",5.75546678880583
"27","EPERVA 64 (IND)",4.82510322171388
"3","ANGAMOS 1 (IND)",4.78366739568858
"21","DON GINO (IND)",4.6207243696813
"16","CLAUDIA ALEJANDRA (IND)",4.36645672137019
"1","ALBIMER (IND)",3.44719197921017
"31","HURACAN (IND)",3.43321500548313
"4","ANGAMOS 2 (IND)",3.34045141225243
"30","HALCON (IND)",2.97211268523151
"46","TRUENO I (IND)",2.58071886809108
"24","EPERVA 56 (IND)",2.53321180151142
"37","LOA 7 (IND)",2.31240860683318
"43","SALMON (IND)",2.20365820980912
"34","LICANTEN (IND)",2.19725013876507
"18","CORPESCA 2 (IND)",2.07217552381594
"39","MERO (IND)",2.06490747981998
"41","PUCARA (IND)",1.95301156760866
"7","ANGAMOS 9 (IND)",1.85644108369759
"20","DON ERNESTO AYALA MARFIL (IND)",1.79498807379887
"14","BLANQUILLO (IND)",1.74398443044897
"28","EPERVA 65 (IND)",1.74129559396214
"36","LOA 2 (IND)",1.7235494568798
"38","MARLIN (IND)",1.2640675628482
"44","SAN JORGE I (IND)",1.2066099463551
"13","BARRACUDA IV (IND)",1.18884417981931
"9","ATACAMA V (IND)",1.16329928296784
"26","EPERVA 62 (IND)",1.08578273388424
"11","AVENTURERO (IND)",1.0386857397792
"33","INTREPIDO (IND)",0.896798140689352
"35","LOA 1 (IND)",0.68944125939436
"17","COLLEN (IND)",0.675084909561106
"29","EPERVA 66 (IND)",0.56431026812851
"32","ICALMA (IND)",0.120421587900121
"6","ANGAMOS 4 (IND)",0.1067355299344
"2","ALERCE (IND)",0
"10","AUDAZ (IND)",0
"12","BANDURRIA (IND)",0
"15","CAMIÑA (IND)",0
"19","COSTA GRANDE 1 (IND)",0
"22","EPERVA 49 (IND)",0
"23","EPERVA 51 (IND)",0
"40","PARINA I (IND)",0
"42","RELAMPAGO (IND)",0
"45","TORNADO (IND)",0
