"","Embarcacion","Horas"
"29","EPERVA 66 (IND)",38.7801290390895
"1","ALBIMER (IND)",38.3416030082446
"16","CLAUDIA ALEJANDRA (IND)",37.0798233526447
"32","ICALMA (IND)",36.2489065857844
"24","EPERVA 56 (IND)",35.7054170898422
"8","ATACAMA IV (IND)",32.4862156009907
"26","EPERVA 62 (IND)",30.0936546140622
"4","ANGAMOS 2 (IND)",29.9575432491437
"38","MARLIN (IND)",25.3294520829502
"35","LOA 1 (IND)",24.8688824872546
"23","EPERVA 51 (IND)",22.99965728018
"13","BARRACUDA IV (IND)",22.706045607533
"19","COSTA GRANDE 1 (IND)",22.0420732834653
"9","ATACAMA V (IND)",21.7841746793617
"7","ANGAMOS 9 (IND)",21.701707790717
"36","LOA 2 (IND)",21.39470187852
"31","HURACAN (IND)",21.2943833260252
"46","TRUENO I (IND)",19.7572428026532
"17","COLLEN (IND)",19.5878904152939
"5","ANGAMOS 3 (IND)",18.8243809649189
"42","RELAMPAGO (IND)",18.6013869401536
"43","SALMON (IND)",18.3409593542634
"6","ANGAMOS 4 (IND)",18.2384741273925
"41","PUCARA (IND)",17.800548255035
"37","LOA 7 (IND)",17.6055199527002
"28","EPERVA 65 (IND)",17.533483522872
"45","TORNADO (IND)",17.361874517667
"34","LICANTEN (IND)",15.9258113040153
"39","MERO (IND)",15.2244037162062
"25","EPERVA 61 (IND)",15.1428235492352
"18","CORPESCA 2 (IND)",13.9223765558185
"11","AVENTURERO (IND)",13.9215652571999
"3","ANGAMOS 1 (IND)",13.2222580903747
"20","DON ERNESTO AYALA MARFIL (IND)",12.785282549022
"33","INTREPIDO (IND)",12.6155665363135
"10","AUDAZ (IND)",11.7176060102365
"40","PARINA I (IND)",9.31771782196381
"14","BLANQUILLO (IND)",8.9097649692512
"12","BANDURRIA (IND)",7.46037082820275
"22","EPERVA 49 (IND)",7.00259992404054
"27","EPERVA 64 (IND)",6.52744023813911
"30","HALCON (IND)",6.17084798886862
"21","DON GINO (IND)",5.57926961274027
"15","CAMIÑA (IND)",5.35282353029371
"2","ALERCE (IND)",3.61629664267377
"44","SAN JORGE I (IND)",2.23947245717545
